"kd_berita";"judul_berita";"sub_judul"
"1";"projo beri dukung ridwan kamil-suswono pilkada jakarta 2024";
"2";"sambang masyarakat tolotang sidrap kaesang kampanye fatmawati rusdi syaharuddi";
"3";"siap menang khofifah-emil santri dukung ganjar jatim gabung rawan gokil gaspoll";
"4";"cagub bojonegoro setyo wahono nasib purnawirawan tni-polri depan lebih baik";
"5";"tokoh masyarakat nilai program anwar hafid sesuai butuh rakyat";
"6";"diskusi bareng anak muda banjarbaru lisa halaby jawab tuntas deret aspirasi";
"7";"cagub jabar dedi mulyadi kenal warga depok medsos";
"8";"kaesang kampanye syaharuddin-nurkanaah pilbup sidrap 2024";
"9";"sowan barru kaesang kampanye ulfa nurul huda suardi-mudassir hasri gani";
"10";"pdip terus genjot konsolidasi menang tri rismaharini-gus hans pilkada jatim 202";
"11";"kata pramono soal nyata suswono janda kaya nikah anggur";
"12";"survei ppi kan suara pilih anies prabowo kerucut paslon pilkada jaka";
"13";"canda janda kaya suswono lapor polisi padi unsur nista agama";
"14";"paslon eddy santana-riezky aprilia komitmen tuntas kerja rumah sumsel";
"15";"sekjen pdip pimpin rapat konsolidasi internal menang pilkada jatim 2024";
"16";"tokoh purnawirawan tni dukung wahono-nurul punya komitmen maju daerah";
"17";"pramono anung sebut janji 500 lapang kerja baru rasional";
"18";"ucap suswono soal janda lapor polda metro polisi saran bawa gakkumdu";
"19";"eki pitung bela suswono silah adu gagas jangan seret pilkada jakarta politik ide";
"20";"tani jatim gabung gokil gaspoll totalitas menang khofifah-emil";
"21";"jelang coblos pilkada 2024 tum psi kian masif ikut kampanye cakadanya";
"22";"pasang rido unggul survei ppi poltracking lsi beda atas pram-doel";
"23";"survei parameter politik ridwan kamil-suswono 47 8 pramono anung-rano karno 38 dharma";
"24";"survei parameter pilgub jakarta jadi tarung popularitas ridwan kamil rano karno";
"25";"sekjen pdip sebut cagub jatim risma bukan pimpin citra penuh bohong";
"26";"cabup tanggung agus gondrong hadap black campaign pasca popularitas kuat";
"27";"pj gubernur teguh minta cagub-cawagub jakarta hindar politik uang kampanye hitam";
"28";"rawan prabowo 08 mania deklarasi dukung ridwan kamil-suswono pilkada jakarta";
"29";"advokat gpn ri deklarasi dukung rk-suswono siap kawal menang satu putar";
"30";"suswono minta maaf usai saran janda kaya nikah pemuda anggur";
"31";"suka gagas kawasan agropolitan parimo ratus massa deklarasi dukung anwar-reny pilg";
"32";"harap ubah warga desa leilem minahasa elly lasut jadi gubernur sulut";
"33";"visi misi ukur bangun kepri ansar-nyanyang nilai pasang brilian pilih masyarakat";
"34";"bakar semangat kader menang pilkada jatim hasto pdip risma spesialis atas kemisk";
"35";"ridwan kamil sebut waktu dekat temu prabowo";
"36";"momentum sumpah pemuda cagub malut husain alting ajak anak muda aktif bangun";
"37";"cagub sulteng ahmad ali harap tani naik kelas sejahtera tak rugi terus";
"38";"pilbup tanah bumbu andi rudi blusukan bandara sujud";
"39";"cawagub suswono saran janda kaya nikah pemuda nganggur";
"40";"ridwan kamil bakal blusukan wilayah minim dukung jelang habis masa kampanye";
"41";"tiga jurus pramono-rano sejahtera warga jakarta";
"42";"pramono anung-rano karno dukung kini dagang pasar induk cipinang";
"43";"pilgub riau paslon m nasir-wardan sebut elektabilitasnya naik";
"44";"tkn fanta prabowo gibran deklarasi dukung ridwan kamil-suswono pilkada jakarta";
"45";"kaesang pangarep belitung kampanye isyak-masdar";
"46";"elektabilitas khofifah-emil makin lejit nilai sangat sulit kejar saing";
"47";"benyamin davnie generasi 2045 unggul lahir pemuda sekarang";
"48";"5 janji dharma pongrekun-kun wardhana debat pilgub jakarta 2024 usung program ge";
"49";"5 janji ridwan kamil-suswono jakarta debat pilkada 2024";
"50";"cagub banten andra soni bedah rumah warga kurang mampu pinang kota tangerang";
"51";"survei jelang pilkada kaltim 2024 elektabilitas isran noor-hadi mulyadi rudy mas ud-s";
"52";"lewat tanya mas tri pemuda bekas aspirasi kota lanjut";
"53";"7 janji pramono anung-rano karno debat pilgub jakarta 2024 kjp hingga beri";
"54";"rk-suswono gagas forward contract hingga pasar murah jubir lindung warga lonjaka";
"55";"ridwan kamil bakal beri uang hormat urus rt rw jadi gubernur jakarta";
"56";"jubir ridwan kamil-suswono tampil prima debat pilkada jakarta";
"57";"survei pilgub sumbar 78 persen pilih milenial dukung mahyeldi-vasco";
"58";"duga mobilisasi kades pilgub jateng andika perkasa bawaslu tindak profesio";
"59";"dharma pongrekun sebut pandemi covid deflasi indonesia";
"60";"tutup debat umbar 3 janji rano karno warga jakarta sejahtera";
"61";"ridwan kamil pamer kerja jabar desa tinggal akhir jabat jadi nol";
